step_id,start_date,end_date,year,month
65,12/24/2002,1/8/2003,2002,12
66,1/9/2003,1/24/2003,2003,1
67,1/25/2003,2/9/2003,2003,1
68,2/10/2003,2/25/2003,2003,2
69,2/26/2003,3/13/2003,2003,2
70,3/14/2003,3/29/2003,2003,3
71,3/30/2003,4/14/2003,2003,3
72,4/15/2003,4/30/2003,2003,4
73,5/1/2003,5/16/2003,2003,5
74,5/17/2003,6/1/2003,2003,5
75,6/2/2003,6/17/2003,2003,6
76,6/18/2003,7/3/2003,2003,6
77,7/4/2003,7/19/2003,2003,7
78,7/20/2003,8/4/2003,2003,7
79,8/5/2003,8/20/2003,2003,8
80,8/21/2003,9/5/2003,2003,8
81,9/6/2003,9/21/2003,2003,9
82,9/22/2003,10/7/2003,2003,9
83,10/8/2003,10/23/2003,2003,10
84,10/24/2003,11/8/2003,2003,10
85,11/9/2003,11/24/2003,2003,11
86,11/25/2003,12/10/2003,2003,11
87,12/11/2003,12/26/2003,2003,12
88,12/27/2003,1/11/2004,2003,12
89,1/12/2004,1/27/2004,2004,1
90,1/28/2004,2/12/2004,2004,1
91,2/13/2004,2/28/2004,2004,2
92,2/29/2004,3/15/2004,2004,2
93,3/16/2004,3/31/2004,2004,3
94,4/1/2004,4/16/2004,2004,4
95,4/17/2004,5/2/2004,2004,4
96,5/3/2004,5/18/2004,2004,5
97,5/19/2004,6/3/2004,2004,5
98,6/4/2004,6/19/2004,2004,6
99,6/20/2004,7/5/2004,2004,6
100,7/6/2004,7/21/2004,2004,7
101,7/22/2004,8/6/2004,2004,7
102,8/7/2004,8/22/2004,2004,8
103,8/23/2004,9/7/2004,2004,8
104,9/8/2004,9/23/2004,2004,9
105,9/24/2004,10/9/2004,2004,9
106,10/10/2004,10/25/2004,2004,10
107,10/26/2004,11/10/2004,2004,10
108,11/11/2004,11/26/2004,2004,11
109,11/27/2004,12/12/2004,2004,11
110,12/13/2004,12/28/2004,2004,12
111,12/29/2004,1/13/2005,2004,12
112,1/14/2005,1/29/2005,2005,1
113,1/30/2005,2/14/2005,2005,1
114,2/15/2005,3/2/2005,2005,2
115,3/3/2005,3/18/2005,2005,3
116,3/19/2005,4/3/2005,2005,3
117,4/4/2005,4/19/2005,2005,4
118,4/20/2005,5/5/2005,2005,4
119,5/6/2005,5/21/2005,2005,5
120,5/22/2005,6/6/2005,2005,5
121,6/7/2005,6/22/2005,2005,6
122,6/23/2005,7/8/2005,2005,6
123,7/9/2005,7/24/2005,2005,7
124,7/25/2005,8/9/2005,2005,7
125,8/10/2005,8/25/2005,2005,8
126,8/26/2005,9/10/2005,2005,8
127,9/11/2005,9/26/2005,2005,9
128,9/27/2005,10/12/2005,2005,9
129,10/13/2005,10/28/2005,2005,10
130,10/29/2005,11/13/2005,2005,10
131,11/14/2005,11/29/2005,2005,11
132,11/30/2005,12/15/2005,2005,11
133,12/16/2005,12/31/2005,2005,12
134,1/1/2006,1/16/2006,2006,1
135,1/17/2006,2/1/2006,2006,1
136,2/2/2006,2/17/2006,2006,2
137,2/18/2006,3/5/2006,2006,2
138,3/6/2006,3/21/2006,2006,3
139,3/22/2006,4/6/2006,2006,3
140,4/7/2006,4/22/2006,2006,4
141,4/23/2006,5/8/2006,2006,4
142,5/9/2006,5/24/2006,2006,5
143,5/25/2006,6/9/2006,2006,5
144,6/10/2006,6/25/2006,2006,6
145,6/26/2006,7/11/2006,2006,6
146,7/12/2006,7/27/2006,2006,7
147,7/28/2006,8/12/2006,2006,7
148,8/13/2006,8/28/2006,2006,8
149,8/29/2006,9/13/2006,2006,8
150,9/14/2006,9/29/2006,2006,9
151,9/30/2006,10/15/2006,2006,9
152,10/16/2006,10/31/2006,2006,10
153,11/1/2006,11/16/2006,2006,11
154,11/17/2006,12/2/2006,2006,11
155,12/3/2006,12/18/2006,2006,12
156,12/19/2006,1/3/2007,2006,12
157,1/4/2007,1/19/2007,2007,1
158,1/20/2007,2/4/2007,2007,1
159,2/5/2007,2/20/2007,2007,2
160,2/21/2007,3/8/2007,2007,2
161,3/9/2007,3/24/2007,2007,3
162,3/25/2007,4/9/2007,2007,3
163,4/10/2007,4/25/2007,2007,4
164,4/26/2007,5/11/2007,2007,4
165,5/12/2007,5/27/2007,2007,5
166,5/28/2007,6/12/2007,2007,5
167,6/13/2007,6/28/2007,2007,6
168,6/29/2007,7/14/2007,2007,6
169,7/15/2007,7/30/2007,2007,7
170,7/31/2007,8/15/2007,2007,7
171,8/16/2007,8/31/2007,2007,8
172,9/1/2007,9/16/2007,2007,9
173,9/17/2007,10/2/2007,2007,9
174,10/3/2007,10/18/2007,2007,10
175,10/19/2007,11/3/2007,2007,10
176,11/4/2007,11/19/2007,2007,11
177,11/20/2007,12/5/2007,2007,11
178,12/6/2007,12/21/2007,2007,12
179,12/22/2007,1/6/2008,2007,12
180,1/7/2008,1/22/2008,2008,1
181,1/23/2008,2/7/2008,2008,1
182,2/8/2008,2/23/2008,2008,2
183,2/24/2008,3/10/2008,2008,2
184,3/11/2008,3/26/2008,2008,3
185,3/27/2008,4/11/2008,2008,3
186,4/12/2008,4/27/2008,2008,4
187,4/28/2008,5/13/2008,2008,4
188,5/14/2008,5/29/2008,2008,5
189,5/30/2008,6/14/2008,2008,5
190,6/15/2008,6/30/2008,2008,6
191,7/1/2008,7/16/2008,2008,7
192,7/17/2008,8/1/2008,2008,7
193,8/2/2008,8/17/2008,2008,8
194,8/18/2008,9/2/2008,2008,8
195,9/3/2008,9/18/2008,2008,9
196,9/19/2008,10/4/2008,2008,9
197,10/5/2008,10/20/2008,2008,10
198,10/21/2008,11/5/2008,2008,10
199,11/6/2008,11/21/2008,2008,11
200,11/22/2008,12/7/2008,2008,11
201,12/8/2008,12/23/2008,2008,12
202,12/24/2008,1/8/2009,2008,12
203,1/9/2009,1/24/2009,2009,1
204,1/25/2009,2/9/2009,2009,1
205,2/10/2009,2/25/2009,2009,2
206,2/26/2009,3/13/2009,2009,2
207,3/14/2009,3/29/2009,2009,3
208,3/30/2009,4/14/2009,2009,3
209,4/15/2009,4/30/2009,2009,4
210,5/1/2009,5/16/2009,2009,5
211,5/17/2009,6/1/2009,2009,5
212,6/2/2009,6/17/2009,2009,6
213,6/18/2009,7/3/2009,2009,6
214,7/4/2009,7/19/2009,2009,7
215,7/20/2009,8/4/2009,2009,7
216,8/5/2009,8/20/2009,2009,8
217,8/21/2009,9/5/2009,2009,8
218,9/6/2009,9/21/2009,2009,9
219,9/22/2009,10/7/2009,2009,9
220,10/8/2009,10/23/2009,2009,10
221,10/24/2009,11/8/2009,2009,10
222,11/9/2009,11/24/2009,2009,11
223,11/25/2009,12/10/2009,2009,11
224,12/11/2009,12/26/2009,2009,12
225,12/27/2009,1/11/2010,2009,12
226,1/12/2010,1/27/2010,2010,1
227,1/28/2010,2/12/2010,2010,1
228,2/13/2010,2/28/2010,2010,2
229,3/1/2010,3/16/2010,2010,3
230,3/17/2010,4/1/2010,2010,3
231,4/2/2010,4/17/2010,2010,4
232,4/18/2010,5/3/2010,2010,4
233,5/4/2010,5/19/2010,2010,5
234,5/20/2010,6/4/2010,2010,5
235,6/5/2010,6/20/2010,2010,6
236,6/21/2010,7/6/2010,2010,6
237,7/7/2010,7/22/2010,2010,7
238,7/23/2010,8/7/2010,2010,7
239,8/8/2010,8/23/2010,2010,8
240,8/24/2010,9/8/2010,2010,8
241,9/9/2010,9/24/2010,2010,9
242,9/25/2010,10/10/2010,2010,9
243,10/11/2010,10/26/2010,2010,10
244,10/27/2010,11/11/2010,2010,10
245,11/12/2010,11/27/2010,2010,11
246,11/28/2010,12/13/2010,2010,11
247,12/14/2010,12/29/2010,2010,12
248,12/30/2010,1/14/2011,2010,12
249,1/15/2011,1/30/2011,2011,1
250,1/31/2011,2/15/2011,2011,1
251,2/16/2011,3/3/2011,2011,2
252,3/4/2011,3/19/2011,2011,3
253,3/20/2011,4/4/2011,2011,3
254,4/5/2011,4/20/2011,2011,4
255,4/21/2011,5/6/2011,2011,4
256,5/7/2011,5/22/2011,2011,5
257,5/23/2011,6/7/2011,2011,5
258,6/8/2011,6/23/2011,2011,6
259,6/24/2011,7/9/2011,2011,6
260,7/10/2011,7/25/2011,2011,7
261,7/26/2011,8/10/2011,2011,7
262,8/11/2011,8/26/2011,2011,8
263,8/27/2011,9/11/2011,2011,8
264,9/12/2011,9/27/2011,2011,9
265,9/28/2011,10/13/2011,2011,9
266,10/14/2011,10/29/2011,2011,10
267,10/30/2011,11/14/2011,2011,10
268,11/15/2011,11/30/2011,2011,11
269,12/1/2011,12/16/2011,2011,12
270,12/17/2011,1/1/2012,2011,12
271,1/2/2012,1/17/2012,2012,1
272,1/18/2012,2/2/2012,2012,1
273,2/3/2012,2/18/2012,2012,2
274,2/19/2012,3/5/2012,2012,2
275,3/6/2012,3/21/2012,2012,3
276,3/22/2012,4/6/2012,2012,3
277,4/7/2012,4/22/2012,2012,4
278,4/23/2012,5/8/2012,2012,4
279,5/9/2012,5/24/2012,2012,5
280,5/25/2012,6/9/2012,2012,5
281,6/10/2012,6/25/2012,2012,6
282,6/26/2012,7/11/2012,2012,6
283,7/12/2012,7/27/2012,2012,7
284,7/28/2012,8/12/2012,2012,7
285,8/13/2012,8/28/2012,2012,8
286,8/29/2012,9/13/2012,2012,8
287,9/14/2012,9/29/2012,2012,9
288,9/30/2012,10/15/2012,2012,9
289,10/16/2012,10/31/2012,2012,10
290,11/1/2012,11/16/2012,2012,11
291,11/17/2012,12/2/2012,2012,11
292,12/3/2012,12/18/2012,2012,12
293,12/19/2012,1/3/2013,2012,12
294,1/4/2013,1/19/2013,2013,1
295,1/20/2013,2/4/2013,2013,1
296,2/5/2013,2/20/2013,2013,2
297,2/21/2013,3/8/2013,2013,2
298,3/9/2013,3/24/2013,2013,3
299,3/25/2013,4/9/2013,2013,3
300,4/10/2013,4/25/2013,2013,4
301,4/26/2013,5/11/2013,2013,4
302,5/12/2013,5/27/2013,2013,5
303,5/28/2013,6/12/2013,2013,5
304,6/13/2013,6/28/2013,2013,6
305,6/29/2013,7/14/2013,2013,6
306,7/15/2013,7/30/2013,2013,7
307,7/31/2013,8/15/2013,2013,7
308,8/16/2013,8/31/2013,2013,8
309,9/1/2013,9/16/2013,2013,9
310,9/17/2013,10/2/2013,2013,9
311,10/3/2013,10/18/2013,2013,10
312,10/19/2013,11/3/2013,2013,10
313,11/4/2013,11/19/2013,2013,11
314,11/20/2013,12/5/2013,2013,11
315,12/6/2013,12/21/2013,2013,12
316,12/22/2013,1/6/2014,2013,12
317,1/7/2014,1/22/2014,2014,1
318,1/23/2014,2/7/2014,2014,1
319,2/8/2014,2/23/2014,2014,2
320,2/24/2014,3/11/2014,2014,2
321,3/12/2014,3/27/2014,2014,3
322,3/28/2014,4/12/2014,2014,3
323,4/13/2014,4/28/2014,2014,4
324,4/29/2014,5/14/2014,2014,4
325,5/15/2014,5/30/2014,2014,5
326,5/31/2014,6/15/2014,2014,5
327,6/16/2014,7/1/2014,2014,6
328,7/2/2014,7/17/2014,2014,7
329,7/18/2014,8/2/2014,2014,7
330,8/3/2014,8/18/2014,2014,8
331,8/19/2014,9/3/2014,2014,8
332,9/4/2014,9/19/2014,2014,9
333,9/20/2014,10/5/2014,2014,9
334,10/6/2014,10/21/2014,2014,10
335,10/22/2014,11/6/2014,2014,10
336,11/7/2014,11/22/2014,2014,11
337,11/23/2014,12/8/2014,2014,11
338,12/9/2014,12/24/2014,2014,12
339,12/25/2014,1/9/2015,2014,12
340,1/10/2015,1/25/2015,2015,1
341,1/26/2015,2/10/2015,2015,1
342,2/11/2015,2/26/2015,2015,2
343,2/27/2015,3/14/2015,2015,2
344,3/15/2015,3/30/2015,2015,3
345,3/31/2015,4/15/2015,2015,3
346,4/16/2015,5/1/2015,2015,4
347,5/2/2015,5/17/2015,2015,5
348,5/18/2015,6/2/2015,2015,5
349,6/3/2015,6/18/2015,2015,6
350,6/19/2015,7/4/2015,2015,6
351,7/5/2015,7/20/2015,2015,7
352,7/21/2015,8/5/2015,2015,7
353,8/6/2015,8/21/2015,2015,8
354,8/22/2015,9/6/2015,2015,8
355,9/7/2015,9/22/2015,2015,9
356,9/23/2015,10/8/2015,2015,9
357,10/9/2015,10/24/2015,2015,10
358,10/25/2015,11/9/2015,2015,10
359,11/10/2015,11/25/2015,2015,11
360,11/26/2015,12/11/2015,2015,11
361,12/12/2015,12/27/2015,2015,12
362,12/28/2015,1/12/2016,2015,12
363,1/13/2016,1/28/2016,2016,1
364,1/29/2016,2/13/2016,2016,1
365,2/14/2016,2/29/2016,2016,2
366,3/1/2016,3/16/2016,2016,3
367,3/17/2016,4/1/2016,2016,3
368,4/2/2016,4/17/2016,2016,4
369,4/18/2016,5/3/2016,2016,4
370,5/4/2016,5/19/2016,2016,5
371,5/20/2016,6/4/2016,2016,5
372,6/5/2016,6/20/2016,2016,6
373,6/21/2016,7/6/2016,2016,6
374,7/7/2016,7/22/2016,2016,7
375,7/23/2016,8/7/2016,2016,7
376,8/8/2016,8/23/2016,2016,8
377,8/24/2016,9/8/2016,2016,8
378,9/9/2016,9/24/2016,2016,9
379,9/25/2016,10/10/2016,2016,9
380,10/11/2016,10/26/2016,2016,10
381,10/27/2016,11/11/2016,2016,10
382,11/12/2016,11/27/2016,2016,11
383,11/28/2016,12/13/2016,2016,11
384,12/14/2016,12/29/2016,2016,12
385,12/30/2016,1/14/2017,2016,12
386,1/15/2017,1/30/2017,2017,1
387,1/31/2017,2/15/2017,2017,1
388,2/16/2017,3/3/2017,2017,2
389,3/4/2017,3/19/2017,2017,3
390,3/20/2017,4/4/2017,2017,3
391,4/5/2017,4/20/2017,2017,4
392,4/21/2017,5/6/2017,2017,4
393,5/7/2017,5/22/2017,2017,5
394,5/23/2017,6/7/2017,2017,5
395,6/8/2017,6/23/2017,2017,6
396,6/24/2017,7/9/2017,2017,6
397,7/10/2017,7/25/2017,2017,7
398,7/26/2017,8/10/2017,2017,7
399,8/11/2017,8/26/2017,2017,8
400,8/27/2017,9/11/2017,2017,8
401,9/12/2017,9/27/2017,2017,9
402,9/28/2017,10/13/2017,2017,9
403,10/14/2017,10/29/2017,2017,10
404,10/30/2017,11/14/2017,2017,10
405,11/15/2017,11/30/2017,2017,11
406,12/1/2017,12/16/2017,2017,12
407,12/17/2017,1/1/2018,2017,12
408,1/2/2018,1/17/2018,2018,1
409,1/18/2018,2/2/2018,2018,1
410,2/3/2018,2/18/2018,2018,2
411,2/19/2018,3/6/2018,2018,2
412,3/7/2018,3/22/2018,2018,3
413,3/23/2018,4/7/2018,2018,3
414,4/8/2018,4/23/2018,2018,4
415,4/24/2018,5/9/2018,2018,4
416,5/10/2018,5/25/2018,2018,5
417,5/26/2018,6/10/2018,2018,5
418,6/11/2018,6/26/2018,2018,6
419,6/27/2018,7/12/2018,2018,6
420,7/13/2018,7/28/2018,2018,7
421,7/29/2018,8/13/2018,2018,7
422,8/14/2018,8/29/2018,2018,8
423,8/30/2018,9/14/2018,2018,8
424,9/15/2018,9/30/2018,2018,9
425,10/1/2018,10/16/2018,2018,10
426,10/17/2018,11/1/2018,2018,10
427,11/2/2018,11/17/2018,2018,11
428,11/18/2018,12/3/2018,2018,11
429,12/4/2018,12/19/2018,2018,12
430,12/20/2018,1/4/2019,2018,12
431,1/5/2019,1/20/2019,2019,1
432,1/21/2019,2/5/2019,2019,1
433,2/6/2019,2/21/2019,2019,2
434,2/22/2019,3/9/2019,2019,2
435,3/10/2019,3/25/2019,2019,3
436,3/26/2019,4/10/2019,2019,3
437,4/11/2019,4/26/2019,2019,4
438,4/27/2019,5/12/2019,2019,4
439,5/13/2019,5/28/2019,2019,5
440,5/29/2019,6/13/2019,2019,5
441,6/14/2019,6/29/2019,2019,6
442,6/30/2019,7/15/2019,2019,6
443,7/16/2019,7/31/2019,2019,7
444,8/1/2019,8/16/2019,2019,8
445,8/17/2019,9/1/2019,2019,8
446,9/2/2019,9/17/2019,2019,9
447,9/18/2019,10/3/2019,2019,9
448,10/4/2019,10/19/2019,2019,10
449,10/20/2019,11/4/2019,2019,10
450,11/5/2019,11/20/2019,2019,11
451,11/21/2019,12/6/2019,2019,11
452,12/7/2019,12/22/2019,2019,12
453,12/23/2019,1/7/2020,2019,12
454,1/8/2020,1/23/2020,2020,1
455,1/24/2020,2/8/2020,2020,1
456,2/9/2020,2/24/2020,2020,2
457,2/25/2020,3/11/2020,2020,2
458,3/12/2020,3/27/2020,2020,3
459,3/28/2020,4/12/2020,2020,3
460,4/13/2020,4/28/2020,2020,4
461,4/29/2020,5/14/2020,2020,4
462,5/15/2020,5/30/2020,2020,5
463,5/31/2020,6/15/2020,2020,5
464,6/16/2020,7/1/2020,2020,6
465,7/2/2020,7/17/2020,2020,7
466,7/18/2020,8/2/2020,2020,7
467,8/3/2020,8/18/2020,2020,8
468,8/19/2020,9/3/2020,2020,8
469,9/4/2020,9/19/2020,2020,9
470,9/20/2020,10/5/2020,2020,9
471,10/6/2020,10/21/2020,2020,10
472,10/22/2020,11/6/2020,2020,10
473,11/7/2020,11/22/2020,2020,11
474,11/23/2020,12/8/2020,2020,11
475,12/9/2020,12/24/2020,2020,12
476,12/25/2020,1/9/2021,2020,12
477,1/10/2021,1/25/2021,2021,1
478,1/26/2021,2/10/2021,2021,1
479,2/11/2021,2/26/2021,2021,2
480,2/27/2021,3/14/2021,2021,2
481,3/15/2021,3/30/2021,2021,3
482,3/31/2021,4/15/2021,2021,3
483,4/16/2021,5/1/2021,2021,4
484,5/2/2021,5/17/2021,2021,5
485,5/18/2021,6/2/2021,2021,5
486,6/3/2021,6/18/2021,2021,6
487,6/19/2021,7/4/2021,2021,6
488,7/5/2021,7/20/2021,2021,7
489,7/21/2021,8/5/2021,2021,7
490,8/6/2021,8/21/2021,2021,8
491,8/22/2021,9/6/2021,2021,8
492,9/7/2021,9/22/2021,2021,9
493,9/23/2021,10/8/2021,2021,9
494,10/9/2021,10/24/2021,2021,10
495,10/25/2021,11/9/2021,2021,10
496,11/10/2021,11/25/2021,2021,11
497,11/26/2021,12/11/2021,2021,11
498,12/12/2021,12/27/2021,2021,12
499,12/28/2021,1/12/2022,2021,12
500,1/13/2022,1/28/2022,2022,1
501,1/29/2022,2/13/2022,2022,1
502,2/14/2022,3/1/2022,2022,2
503,3/2/2022,3/17/2022,2022,3
504,3/18/2022,4/2/2022,2022,3
505,4/3/2022,4/18/2022,2022,4
506,4/19/2022,5/4/2022,2022,4
507,5/5/2022,5/20/2022,2022,5
508,5/21/2022,6/5/2022,2022,5
509,6/6/2022,6/21/2022,2022,6
510,6/22/2022,7/7/2022,2022,6
511,7/8/2022,7/23/2022,2022,7
512,7/24/2022,8/8/2022,2022,7
513,8/9/2022,8/24/2022,2022,8
514,8/25/2022,9/9/2022,2022,8
515,9/10/2022,9/25/2022,2022,9
516,9/26/2022,10/11/2022,2022,9
517,10/12/2022,10/27/2022,2022,10
518,10/28/2022,11/12/2022,2022,10
519,11/13/2022,11/28/2022,2022,11
520,11/29/2022,12/14/2022,2022,11
521,12/15/2022,12/30/2022,2022,12
522,12/31/2022,1/15/2023,2022,12
523,1/16/2023,1/31/2023,2023,1
524,2/1/2023,2/16/2023,2023,2
525,2/17/2023,3/4/2023,2023,2
526,3/5/2023,3/20/2023,2023,3
527,3/21/2023,4/5/2023,2023,3
528,4/6/2023,4/21/2023,2023,4
529,4/22/2023,5/7/2023,2023,4
530,5/8/2023,5/23/2023,2023,5
531,5/24/2023,6/8/2023,2023,5
532,6/9/2023,6/24/2023,2023,6
533,6/25/2023,7/10/2023,2023,6
534,7/11/2023,7/26/2023,2023,7
535,7/27/2023,8/11/2023,2023,7
536,8/12/2023,8/27/2023,2023,8
537,8/28/2023,9/12/2023,2023,8
538,9/13/2023,9/28/2023,2023,9
539,9/29/2023,10/14/2023,2023,9
540,10/15/2023,10/30/2023,2023,10
541,10/31/2023,11/15/2023,2023,10
542,11/16/2023,12/1/2023,2023,11
543,12/2/2023,12/17/2023,2023,12
544,12/18/2023,1/2/2024,2023,12
545,1/3/2024,1/18/2024,2024,1
546,1/19/2024,2/3/2024,2024,1
547,2/4/2024,2/19/2024,2024,2
548,2/20/2024,3/6/2024,2024,2
549,3/7/2024,3/22/2024,2024,3
550,3/23/2024,4/7/2024,2024,3
551,4/8/2024,4/23/2024,2024,4
552,4/24/2024,5/9/2024,2024,4
553,5/10/2024,5/25/2024,2024,5
554,5/26/2024,6/10/2024,2024,5
555,6/11/2024,6/26/2024,2024,6
556,6/27/2024,7/12/2024,2024,6
557,7/13/2024,7/28/2024,2024,7
558,7/29/2024,8/13/2024,2024,7
559,8/14/2024,8/29/2024,2024,8
560,8/30/2024,9/14/2024,2024,8
561,9/15/2024,9/30/2024,2024,9
562,10/1/2024,10/16/2024,2024,10
563,10/17/2024,11/1/2024,2024,10
564,11/2/2024,11/17/2024,2024,11
565,11/18/2024,12/3/2024,2024,11
566,12/4/2024,12/19/2024,2024,12
567,12/20/2024,1/4/2025,2024,12
568,1/5/2025,1/20/2025,2025,1
569,1/21/2025,2/5/2025,2025,1
570,2/6/2025,2/21/2025,2025,2
571,2/22/2025,3/9/2025,2025,2
572,3/10/2025,3/25/2025,2025,3
573,3/26/2025,4/10/2025,2025,3
574,4/11/2025,4/26/2025,2025,4
575,4/27/2025,5/12/2025,2025,4
576,5/13/2025,5/28/2025,2025,5
577,5/29/2025,6/13/2025,2025,5
578,6/14/2025,6/29/2025,2025,6
579,6/30/2025,7/15/2025,2025,6
580,7/16/2025,7/31/2025,2025,7
581,8/1/2025,8/16/2025,2025,8
582,8/17/2025,9/1/2025,2025,8
583,9/2/2025,9/17/2025,2025,9
584,9/18/2025,10/3/2025,2025,9
585,10/4/2025,10/19/2025,2025,10
586,10/20/2025,11/4/2025,2025,10
587,11/5/2025,11/20/2025,2025,11
588,11/21/2025,12/6/2025,2025,11
589,12/7/2025,12/22/2025,2025,12
590,12/23/2025,1/7/2026,2025,12
591,1/8/2026,1/23/2026,2026,1
592,1/24/2026,2/8/2026,2026,1
593,2/9/2026,2/24/2026,2026,2
594,2/25/2026,3/12/2026,2026,2
595,3/13/2026,3/28/2026,2026,3
596,3/29/2026,4/13/2026,2026,3
597,4/14/2026,4/29/2026,2026,4
598,4/30/2026,5/15/2026,2026,4
599,5/16/2026,5/31/2026,2026,5
600,6/1/2026,6/16/2026,2026,6
601,6/17/2026,7/2/2026,2026,6
602,7/3/2026,7/18/2026,2026,7
603,7/19/2026,8/3/2026,2026,7
604,8/4/2026,8/19/2026,2026,8
605,8/20/2026,9/4/2026,2026,8
606,9/5/2026,9/20/2026,2026,9
607,9/21/2026,10/6/2026,2026,9
608,10/7/2026,10/22/2026,2026,10
609,10/23/2026,11/7/2026,2026,10
610,11/8/2026,11/23/2026,2026,11
611,11/24/2026,12/9/2026,2026,11
612,12/10/2026,12/25/2026,2026,12
613,12/26/2026,1/10/2027,2026,12
614,1/11/2027,1/26/2027,2027,1
615,1/27/2027,2/11/2027,2027,1
616,2/12/2027,2/27/2027,2027,2
617,2/28/2027,3/15/2027,2027,2
618,3/16/2027,3/31/2027,2027,3
619,4/1/2027,4/16/2027,2027,4
620,4/17/2027,5/2/2027,2027,4
621,5/3/2027,5/18/2027,2027,5
622,5/19/2027,6/3/2027,2027,5
623,6/4/2027,6/19/2027,2027,6
624,6/20/2027,7/5/2027,2027,6
625,7/6/2027,7/21/2027,2027,7
626,7/22/2027,8/6/2027,2027,7
627,8/7/2027,8/22/2027,2027,8
628,8/23/2027,9/7/2027,2027,8
629,9/8/2027,9/23/2027,2027,9
630,9/24/2027,10/9/2027,2027,9
631,10/10/2027,10/25/2027,2027,10
632,10/26/2027,11/10/2027,2027,10
633,11/11/2027,11/26/2027,2027,11
634,11/27/2027,12/12/2027,2027,11
635,12/13/2027,12/28/2027,2027,12
636,12/29/2027,1/13/2028,2027,12
637,1/14/2028,1/29/2028,2028,1
638,1/30/2028,2/14/2028,2028,1
639,2/15/2028,3/1/2028,2028,2
640,3/2/2028,3/17/2028,2028,3
641,3/18/2028,4/2/2028,2028,3
642,4/3/2028,4/18/2028,2028,4
643,4/19/2028,5/4/2028,2028,4
644,5/5/2028,5/20/2028,2028,5
645,5/21/2028,6/5/2028,2028,5
646,6/6/2028,6/21/2028,2028,6
647,6/22/2028,7/7/2028,2028,6
648,7/8/2028,7/23/2028,2028,7
649,7/24/2028,8/8/2028,2028,7
650,8/9/2028,8/24/2028,2028,8
651,8/25/2028,9/9/2028,2028,8
652,9/10/2028,9/25/2028,2028,9
653,9/26/2028,10/11/2028,2028,9
654,10/12/2028,10/27/2028,2028,10
655,10/28/2028,11/12/2028,2028,10
656,11/13/2028,11/28/2028,2028,11
657,11/29/2028,12/14/2028,2028,11
658,12/15/2028,12/30/2028,2028,12
659,12/31/2028,1/15/2029,2028,12
660,1/16/2029,1/31/2029,2029,1
661,2/1/2029,2/16/2029,2029,2
662,2/17/2029,3/4/2029,2029,2
663,3/5/2029,3/20/2029,2029,3
664,3/21/2029,4/5/2029,2029,3
